Ticket,Open Time,Action,Size,Symbol,Open Price,Stop Loss,Take Profit,Close Time,Close Price,Commission,Exit Reason,PL,Raw Money Profit,Swap
141,2020-08-06 02:00:00,sell,0.033333333333333326,EURUSD,1.18721,1.19471,1.17221,2020-08-11 00:00:00,1.17221,-0.23,take_profit,49.82,50.0,0.05
142,2020-08-11 19:00:00,sell,0.033333333333333326,EURUSD,1.17453,1.18203,1.15953,2020-08-13 06:00:00,1.18203,-0.23,catastrophic_stop_loss,-25.21,-25.0,0.02
143,2020-08-13 16:00:00,sell,0.033333333333333326,EURUSD,1.18178,1.18928,1.16678,2020-08-17 02:00:00,1.18464,-0.23,logic_regime_change,-9.73,-9.53,0.04
144,2020-08-17 02:00:00,buy,0.033333333333333326,EURUSD,1.18464,1.17714,1.19964,2020-08-21 12:00:00,1.17714,-0.23,catastrophic_stop_loss,-25.57,-25.0,-0.33
145,2020-08-23 22:00:00,buy,0.033333333333333326,EURUSD,1.17951,1.17201,1.19451,2020-08-26 02:00:00,1.18325,-0.23,logic_regime_change,11.98,12.47,-0.25
146,2020-08-26 03:00:00,sell,0.033333333333333326,EURUSD,1.18196,1.18946,1.16696,2020-08-27 13:00:00,1.18946,-0.23,catastrophic_stop_loss,-25.22,-25.0,0.01
147,2020-08-28 18:00:00,sell,0.033333333333333326,EURUSD,1.18866,1.19616,1.17366,2020-08-31 14:00:00,1.19616,-0.23,catastrophic_stop_loss,-25.2,-25.0,0.03
148,2020-08-31 20:00:00,sell,0.033333333333333326,EURUSD,1.19329,1.20079,1.17829,2020-09-01 13:00:00,1.20079,-0.23,catastrophic_stop_loss,-25.22,-25.0,0.01
149,2020-09-03 05:00:00,sell,0.033333333333333326,EURUSD,1.18103,1.18853,1.16603,2020-09-04 02:00:00,1.18526,-0.23,logic_regime_change,-14.32,-14.1,0.01
150,2020-11-04 01:00:00,sell,0.033333333333333326,EURUSD,1.16896,1.17646,1.15396,2020-11-04 02:00:00,1.16843,-0.23,logic_regime_change,1.53,1.77,0.0
151,2020-11-04 03:00:00,sell,0.033333333333333326,EURUSD,1.1619,1.1694,1.1469,2020-11-04 07:00:00,1.16437,-0.23,logic_regime_change,-8.47,-8.23,0.0
152,2020-11-13 03:00:00,sell,0.033333333333333326,EURUSD,1.18046,1.18796,1.16546,2020-11-17 11:00:00,1.18796,-0.23,catastrophic_stop_loss,-25.19,-25.0,0.04
153,2020-11-17 17:00:00,sell,0.033333333333333326,EURUSD,1.18613,1.19363,1.17113,2020-11-26 06:00:00,1.19363,-0.23,catastrophic_stop_loss,-25.14,-25.0,0.09
154,2020-11-26 09:00:00,sell,0.033333333333333326,EURUSD,1.19154,1.19904,1.17654,2020-11-30 12:00:00,1.19904,-0.23,catastrophic_stop_loss,-25.19,-25.0,0.04
155,2020-11-30 13:00:00,sell,0.033333333333333326,EURUSD,1.19763,1.20513,1.18263,2020-12-01 16:00:00,1.20513,-0.23,catastrophic_stop_loss,-25.22,-25.0,0.01
156,2020-12-02 07:00:00,sell,0.033333333333333326,EURUSD,1.20652,1.21402,1.19152,2020-12-03 12:00:00,1.21402,-0.23,catastrophic_stop_loss,-25.22,-25.0,0.01
157,2020-12-03 19:00:00,sell,0.033333333333333326,EURUSD,1.21392,1.22142,1.19892,2020-12-11 03:00:00,1.21574,-0.23,logic_regime_change,-6.22,-6.07,0.08
158,2021-01-04 03:00:00,buy,0.033333333333333326,EURUSD,1.22544,1.21794,1.24044,2021-01-11 01:00:00,1.21794,-0.23,catastrophic_stop_loss,-25.82,-25.0,-0.58
159,2021-01-11 09:00:00,buy,0.033333333333333326,EURUSD,1.21905,1.21155,1.23405,2021-01-13 03:00:00,1.22128,-0.23,logic_regime_change,7.03,7.43,-0.17
160,2021-02-02 03:00:00,buy,0.033333333333333326,EURUSD,1.20834,1.20084,1.22334,2021-02-03 12:00:00,1.20084,-0.23,catastrophic_stop_loss,-25.32,-25.0,-0.08
161,2021-02-03 18:00:00,buy,0.033333333333333326,EURUSD,1.20267,1.19517,1.21767,2021-02-11 03:00:00,1.21201,-0.23,logic_regime_change,30.23,31.13,-0.67
162,2021-03-17 19:00:00,buy,0.033333333333333326,EURUSD,1.19773,1.19023,1.21273,2021-03-17 20:00:00,1.19771,-0.23,logic_regime_change,-0.3,-0.07,-0.0
163,2021-04-01 08:00:00,buy,0.033333333333333326,EURUSD,1.17412,1.16662,1.18912,2021-04-07 10:00:00,1.18912,-0.23,take_profit,49.27,50.0,-0.5
164,2021-04-08 13:00:00,buy,0.033333333333333326,EURUSD,1.18926,1.18176,1.20426,2021-04-19 10:00:00,1.20426,-0.23,take_profit,48.85,50.0,-0.92
165,2021-04-20 04:00:00,buy,0.033333333333333326,EURUSD,1.20667,1.19917,1.22167,2021-04-30 02:00:00,1.21214,-0.23,logic_regime_change,17.17,18.23,-0.83
166,2021-07-28 19:00:00,buy,0.033333333333333326,EURUSD,1.18387,1.17637,1.19887,2021-08-06 14:00:00,1.17637,-0.23,catastrophic_stop_loss,-25.98,-25.0,-0.75
167,2021-08-09 03:00:00,buy,0.033333333333333326,EURUSD,1.17598,1.16848,1.19098,2021-08-17 02:00:00,1.17738,-0.23,logic_regime_change,3.77,4.67,-0.67
168,2021-08-17 02:00:00,sell,0.033333333333333326,EURUSD,1.17738,1.18488,1.16238,2021-09-01 14:00:00,1.18488,-0.23,catastrophic_stop_loss,-25.08,-25.0,0.15
169,2021-09-02 00:00:00,sell,0.033333333333333326,EURUSD,1.18408,1.19158,1.16908,2021-09-06 02:00:00,1.18774,-0.23,logic_regime_change,-12.39,-12.2,0.04
170,2021-09-06 18:00:00,buy,0.033333333333333326,EURUSD,1.18688,1.17938,1.20188,2021-09-13 05:00:00,1.17938,-0.23,catastrophic_stop_loss,-25.82,-25.0,-0.58
